Location,Yearly Average,Variability
Padi Pudhu nagar,5.180333333333334,1.7460624967120284
Villivakkam North,2.323,1.3157055487110674
Vasantham Colony,5.0655833333333335,1.5027645710691369
Viduthalai Gurusamy Nagar South,10.855833333333331,3.5841499774152954
Ayanavaram,6.636916666666667,2.775932127095766
Pannerselvam Nagar,4.152272727272727,1.2208344761603918
Villivakkam South,7.186333333333334,1.519105438517463
Anna Nagar (West),7.31075,2.1663596245146537
Anna Nagar (Central),3.327916666666667,1.4171610839558033
Anna Nagar (East),5.028416666666667,1.8414364678564166
Shenoy Nagar,8.196583333333333,1.4269452724635452
Purasawalkam,9.806916666666664,3.5526215021978893
Aminjikarai West,4.868416666666667,1.6878811600957162
Aminjikarai East,3.94525,1.4276093892174493
Chetpet / Kilpauk South,10.02275,3.1335509083872477
Periyar Nagar North,9.814500000000002,2.9734495577909628
Nungambakkam,10.253250000000001,2.8616023205381094
Vadapalani East,7.426166666666667,2.1898460648819107
Nakkeerar Nagar,14.221083333333338,3.9940529758933376
Chepauk,6.898499999999999,3.401257347725183
Amir mahal,7.874083333333334,2.6425546337633667
Thiruvallikeni,7.273083333333333,2.1324555823289875
Sathiyamoorthi Nagar,6.363,1.3123922639765349
Teynampet,9.466,2.6235435786529084
Azad Nagar North / South,10.051583333333333,2.7540038772777002
Krishnampet,7.808,2.551875780675854
Vivekanandhapuram,3.744454545454545,1.6422345364555186
Alwarpet (South),10.096833333333334,3.166140921268877
Bhemmannapet,7.288249999999999,2.2829563817359917
Mylapore,6.304333333333333,1.6730733469404213
Santhome,3.013909090909091,1.5246665507280899
Virugambakkam North,8.240583333333333,1.6773243009645038
Vadapalani West,4.513166666666667,1.5452210688167412
MGR Nagar,5.3875,1.2897884604567031
Thiyagaraya Nagar,4.302166666666667,3.5627669745791004
Kalaignar Karunanidhi Nagar,11.827416666666664,5.131816982110604
Kumaran Nagar North / South,3.484833333333334,1.7383514046534454
Mettukuppam,4.552833333333333,1.5458570340419484
Nerkundram,3.4977499999999995,1.3512946065297395
Nerkundram,2.879916666666667,1.4714958658906703
Nerkundram,2.5139166666666664,1.289846534799134
Porur,3.312333333333333,1.2849983610412847
Ramapuram,3.76525,1.5215946853099995
Ramapuram,3.64275,1.3242458660068996
Mugalivakkam,12.816833333333333,3.2673688840169888
Manapakkam,5.291499999999999,3.707889585979898
Nandambakkam,5.536083333333334,1.646414973556641
Alandur,4.092333333333333,2.2845024257665676
Guindy West,4.237083333333334,1.4216640351320275
GD Naidu Nagar South,5.501916666666666,1.591361478753525
GD Naidu Nagar East,1.9838181818181817,1.5912675336461697
Adyar West,4.468749999999999,2.061964073622305
Adyar East,3.4347499999999997,1.3746733248303031
Ullagaram,4.761916666666667,1.4048372573707495
Puzhuthivakkam,1.7163636363636365,1.6725266678129393
Perungudi,3.8666666666666667,2.365785563683516
Perungudi,9.011916666666668,3.043971582065812
Madipakkam,3.572916666666666,1.5319651941413703
Pallikaranai,3.677000000000001,1.2805534314932319
Pallikarania,3.6408333333333336,1.3664982342624612
Karapakkam,2.9432500000000004,1.3804253050155493
Semmenchery,3.2345,1.3181358393235088
Sadaiyankuppam,4.132750000000001,1.9743444078754573
Manali,4.37225,1.5915316879146213
Puzhal,7.275583333333334,1.2759777326593218
Surappattu,10.28975,5.847529581331372
Kathirvedu,10.316333333333331,4.223897862344111
Madhavaram,7.633666666666667,3.579347587412426
Milk Colony,5.0175,2.4742708567833214
Alex Nagar,5.020166666666666,2.9054019854350095
Moolakadai,4.2988333333333335,1.2468766676148946
Kalpalaiyam,16.361916666666666,3.2686273309736427
Thatankulam,4.43925,1.253409323333037
Kodungaiyur (West),4.433583333333334,1.2633866793326385
Perambur (East),5.972166666666666,1.4184196605142403
Basin Bridge,22.846,7.200724913001973
Muthialpet,9.9187,2.0775932149164014
Sowcarpet,5.6626666666666665,1.7624391844225091
Egmore / Pudupet,8.203083333333334,1.3968464130014981
Agaram (South),8.962666666666669,1.5377955493221949
Sembium,9.509083333333331,1.5565504085131403
Kosappet,6.038999999999999,1.9151790326945226
Dr. Besant Nagar/ Thattankulam,8.642583333333333,1.273422764787401
Banu Nagar,7.129499999999999,3.953962649844285
Athimulam Nagar,7.758166666666668,3.8063706845075913
Vijayalakshmipuram,7.188416666666668,3.7535029083954807
Kallikuppam,4.842083333333334,2.565837572211011
Menambedu,7.38375,2.4359176402333476
Villivakkam North,2.6085833333333333,1.283433779028554
Villivakkam South,7.929916666666667,1.2178508237004557
Anna Nagar (West),7.01575,1.5669229907978595
Anna Nagar (Central),3.4480833333333334,1.4981744927097316
Shenoy Nagar,3.8303333333333334,1.4437532106746405
Purasawalkam,4.203818181818182,1.4218566607208913
Chetpet / Kilpauk South,5.752666666666666,1.2307798217784405
Aminjikarai Central,3.9812500000000006,2.3864249459656746
Nungambakkam,7.111916666666667,1.7807827420104967
Thousand Lights,10.104166666666666,2.1762580826786704
Vadapalani East,5.155833333333333,1.2416968473045507
Nakkeerar Nagar,7.573250000000001,1.5933234634219473
Chepauk,4.691166666666667,2.121702868124107
Amir mahal,5.166833333333333,1.2205881468547957
Teynampet,7.309166666666667,1.5340342436223715
Azad Nagar North / South,6.521416666666666,1.2129549536965376
Alwarpet (South),11.437583333333334,3.5065768715458967
Bhemmannapet,6.377833333333335,1.3772883657477986
Avvai Nagar North,4.048166666666667,1.5240160959143643
Virugambakkam North,11.256666666666668,1.2709536386175349
Virugambakkam South,3.0659166666666664,2.6896595748882195
Vadapalani West,4.023666666666666,1.3038518692588115
Kalaignar Karunanidhi Nagar,14.82275,1.8651421649446847
VOC Nagar,10.426083333333333,2.1810833195844896
Saidapet East,7.530083333333334,2.1936904753212456
Nolambur,3.1779166666666665,1.6473095121402896
Mettukuppam,4.143999999999999,1.2296618899666543
Nerkundram,4.405916666666667,1.2749247006879436
Maduravoyal,2.0473333333333334,1.2621069205055009
Mugalivakkam,14.417166666666667,1.4328226327671187
Manapakkam,3.880166666666667,1.4302381768167993
Nandambakkam,5.511666666666667,1.4649526417001482
Meenampakkam,4.238333333333334,1.2986188000636631
Alandur,3.3735,1.8550739999942176
Ullagaram,5.247833333333333,1.3565545147597833
Perungudi,9.518166666666666,3.2024738117823097
Madipakkam,2.0506666666666664,1.2300076373253899
Madipakkam,3.8359166666666673,2.0466787489772673
Pallikaranai,4.1625000000000005,1.3389785455542391
Pallikarania,3.956416666666667,1.4016346598514786
Jalladampettai,3.6431818181818176,1.8714642832916593
Karapakkam,3.2962500000000006,1.2194597257504132
Manali,5.183416666666667,1.7410763368118185
Chinna Mathur,5.889500000000001,1.347621237588663
Chinna Sekadu (Part),2.5621666666666667,1.4436399597314191
Puzhal,7.441583333333331,1.6352803739772428
Surappattu,16.295916666666667,6.589308798877899
Kathirvedu,13.663666666666666,4.599087880583859
Madhavaram,10.488,3.7703846681014586
Milk Colony,5.5075,1.9667283169587182
Alex Nagar,6.315833333333333,2.6882396008382794
Moolakadai,5.885000000000001,2.4055400452062545
Kalpalaiyam,11.451833333333333,7.072918580220208
Thatankulam,4.85775,1.751509692963603
Kodungaiyur (West),3.988416666666667,1.474107030672735
Thiruvalluvar Nagar,6.001916666666666,1.497567024351245
Perambur (North),8.362416666666666,1.3755688713026948
Elango Nagar,4.593833333333333,1.9184883648489002
Kondithope / Peddunaickenpet,3.7625833333333336,1.2940253937604818
Egmore / Pudupet,7.422249999999998,2.5385541384095722
Agaram (South),8.08875,1.9163322982386761
Sembium,7.217166666666667,2.1314745571736924
Perambur (South),12.77575,1.7921511769125646
Thiru Vi Ka Nagar,12.658833333333334,1.2490077395009744
Pulianthope,8.045,1.6745117063029016
Maraimalai Adikal Nagar,7.693583333333335,1.414948277778336
Kosappet,5.524416666666666,1.902345846500307
Dr. Besant Nagar/ Thattankulam,7.8075,1.8474903124361586
Choolai,8.809727272727272,1.6469407451945008
Banu Nagar,9.895416666666668,4.73030668731538
Athimulam Nagar,9.37,3.6345015164018397
Vijayalakshmipuram,9.355666666666666,6.302345253710693
Kallikuppam,8.486583333333334,3.3269366050831843
Menambedu,9.629083333333332,2.529967389596997
Ayyappakkam,5.503333333333334,1.456476528745959
Vasantham Colony,5.25925,1.5106594661694186
Pannerselvam Nagar,3.1554166666666674,1.621771840153587
Villivakkam South,7.194166666666667,1.6041617371037995
Anna Nagar (West),7.718750000000001,1.4467473313986412
Aminjikarai Central,2.597166666666667,1.779065323208348
Nungambakkam,7.910833333333334,1.3667468232221645
Nakkeerar Nagar,6.835916666666666,1.6428559090433914
Amir mahal,5.191833333333334,1.4690110980045745
Sathiyamoorthi Nagar,8.732,1.349073823709504
Teynampet,7.5856666666666674,2.2865453232226813
Azad Nagar North / South,6.596083333333332,1.337560836905837
Krishnampet,3.8682727272727266,1.4633578571838872
Alwarpet (South),12.597166666666666,1.613599355102709
Bhemmannapet,6.559,2.8169148501023726
Virugambakkam North,13.766750000000002,1.5432648464743945
Kamarajar Nagar South / East,4.175083333333333,1.8607669219649159
Thiyagaraya Nagar,5.031166666666667,1.4521956312822153
Kalaignar Karunanidhi Nagar,13.847750000000003,2.809044390244418
Saidapet (West),2.3529166666666668,1.2424383985704983
Mettukuppam,5.537333333333333,2.48554879008214
Nerkundram,3.88625,1.3686775385551757
Mugalivakkam,9.599777777777778,4.632646160073576
Nandambakkam,5.795583333333333,1.6436431518447245
Alandur,3.3234166666666667,2.2870068353967627
GD Naidu Nagar South,4.653083333333334,1.5689452425889263
Adyar West,2.5703333333333336,1.244713061737767
Thiruvanmiyur West,2.4346363636363635,1.2437704187451375
Thiruvanmiyur,2.6473636363636364,1.2458740925733447
Ullagaram,4.23425,1.3329484150831672
Perungudi,10.395000000000001,2.2089834766244856
Pallikaranai,2.1308333333333334,2.034136709150875
Jalladampettai,3.932818181818182,1.3480770614606434
Karapakkam,4.104333333333333,1.5989593396009074
Semmenchery,3.9613333333333327,1.2655077553250629
Sathankadu,3.223333333333333,1.5527502482155118
Surappattu,8.563333333333333,5.731948476158289
Kathirvedu,7.98,4.867966721332429
Madhavaram,8.413333333333334,4.247356040330659
Milk Colony,3.6233333333333335,1.3579518891821367
Kalpalaiyam,12.236666666666666,3.337429150309161
Thiruvalluvar Nagar,4.673333333333333,1.5083876601634387
Perambur (East),4.773333333333333,1.3550768735881125
Sembium,4.27,1.3926952286842946
Kosappet,3.5566666666666666,1.58903534678538
Dr. Besant Nagar/ Thattankulam,7.336666666666666,2.2241028153692293
Banu Nagar,9.393333333333333,3.567650954526428
Athimulam Nagar,5.46,3.354564055134437
Kallikuppam,7.156666666666666,3.1346504323980584
Menambedu,7.319333333333333,1.3723706982201764
Villivakkam North,3.33,1.4107799261401475
Anna Nagar (West),8.173333333333334,1.4113941098549811
Aminjikarai West,5.086666666666667,1.203550303615654
Vadapalani East,7.16,1.4107799261401477
Nakkeerar Nagar,6.336666666666666,1.2391260360969478
Amir mahal,4.6000000000000005,1.3077079184588583
Kamarajar Nagar South / East,6.1066666666666665,1.6097929473486128
Kalaignar Karunanidhi Nagar,14.116666666666667,1.8026739398275364
Nerkundram,3.3800000000000003,1.9352519215854045
Alandur,3.856666666666667,2.5532397720020996
Adampakkam Part,3.953333333333333,1.3439618050128257
Perungudi,9.34,2.0367621363330577
Jalladampettai,3.746666666666666,1.2202185596577906
