Location,Yearly Average,Trend
Padikuppam,4.073666666666666,Stable/Rising
Nolambur (Part) / Mugappair Eri Scheme,8.653666666666666,Stable/Rising
Padi Pudhu nagar,4.268833333333334,Stable/Rising
Maduravoyal (Part) / Nerkundram (Part),2.997916666666667,Stable/Rising
Villivakkam North,2.6085833333333333,Stable/Rising
Vasantham Colony,5.983999999999999,Stable/Rising
Viduthalai Gurusamy Nagar South,5.771000000000001,Stable/Rising
Ayanavaram,2.6405833333333333,Stable/Rising
Anna Nagar (West),7.01575,Stable/Rising
Aminjikarai Central,3.9812500000000006,Stable/Rising
Nungambakkam,7.111916666666667,Stable/Rising
Thousand Lights,10.104166666666666,Stable/Rising
Vadapalani East,5.155833333333333,Stable/Rising
Chepauk,4.691166666666667,Stable/Rising
Amir mahal,5.166833333333333,Stable/Rising
Thiruvallikeni,4.501416666666667,Stable/Rising
Sathiyamoorthi Nagar,7.586916666666667,Stable/Rising
Teynampet,7.309166666666667,Stable/Rising
Azad Nagar North / South,6.521416666666666,Stable/Rising
Krishnampet,3.855333333333333,Stable/Rising
Vivekanandhapuram,2.494333333333333,Stable/Rising
Alwarpet (South),11.437583333333334,Stable/Rising
Bhemmannapet,6.377833333333335,Stable/Rising
Mylapore,4.370583333333334,Stable/Rising
Avvai Nagar North,4.048166666666667,Stable/Rising
Virugambakkam North,11.256666666666668,Stable/Rising
Virugambakkam South,3.0659166666666664,Stable/Rising
Saligramam,1.3965833333333333,Stable/Rising
Ashok Nagar,3.017583333333333,Stable/Rising
MGR Nagar,4.918749999999999,Stable/Rising
Kamarajar Nagar South / East,4.271416666666666,Stable/Rising
Kodambakkam (S),1.7612500000000002,Stable/Rising
Kumaran Nagar North / South,3.407083333333334,Stable/Rising
VOC Nagar,10.426083333333333,Stable/Rising
Saidapet East,7.530083333333334,Stable/Rising
Nerkundram,2.7723636363636364,Stable/Rising
Porur,2.9203333333333332,Stable/Rising
Ramapuram,3.2609999999999997,Stable/Rising
Ramapuram,3.4575833333333335,Stable/Rising
Mugalivakkam,14.417166666666667,Stable/Rising
Alandur,3.3735,Stable/Rising
T.G.Nagar / Nanganallur Part,3.2544999999999997,Stable/Rising
Nanganallur Part / Pazhavanthangal Part,3.6695000000000007,Stable/Rising
B.V.Nagar / Nanganallur Part,2.394166666666666,Stable/Rising
Guindy West,4.091583333333334,Stable/Rising
GD Naidu Nagar South,5.099583333333334,Stable/Rising
GD Naidu Nagar East,2.2530833333333335,Stable/Rising
Raja Annamalaipuram,1.4827272727272727,Stable/Rising
Adyar West,3.06125,Stable/Rising
Adyar East,2.796416666666667,Stable/Rising
Velachery,1.6331666666666669,Stable/Rising
Thiruvanmiyur West,1.2700909090909092,Stable/Rising
Thiruvanmiyur,1.9966666666666664,Stable/Rising
Thiruvanmiyur,2.797416666666667,Stable/Rising
Kottivakkam,3.362833333333334,Stable/Rising
Palavakkam,3.9546666666666663,Stable/Rising
Perungudi,9.518166666666666,Stable/Rising
Madipakkam,2.0506666666666664,Stable/Rising
Pallikarania,3.956416666666667,Stable/Rising
Neelankarai,5.140999999999999,Stable/Rising
Neelankarai,3.428181818181818,Stable/Rising
Injampakkam,6.381833333333333,Stable/Rising
Shozhinganallur,5.705749999999999,Stable/Rising
Uthandi,1.8945454545454548,Stable/Rising
Semmenchery,3.5623333333333327,Stable/Rising
Kathivakkam,3.3673333333333333,Stable/Rising
Theeumpakkam,1.43725,Stable/Rising
Manali,5.183416666666667,Stable/Rising
Alex Nagar,6.315833333333333,Stable/Rising
Kalpalaiyam,11.451833333333333,Stable/Rising
Basin Bridge,24.74142857142857,Stable/Rising
Muthialpet,10.379555555555555,Stable/Rising
Vallal Seethakathi Nagar,4.1075,Stable/Rising
Siruvallur,0.0,Stable/Rising
Pattalam SC (G),14.751818181818182,Stable/Rising
Choolai,8.809727272727272,Stable/Rising
Banu Nagar,9.895416666666668,Stable/Rising
Vijayalakshmipuram,9.355666666666666,Stable/Rising
Puthagaram,0.43291666666666667,Stable/Rising
Pannerselvam Nagar,3.1554166666666674,Stable/Rising
Anna Nagar (Central),2.6813333333333333,Stable/Rising
Anna Nagar (East),2.21575,Stable/Rising
Shenoy Nagar,1.6341666666666665,Stable/Rising
Vadapalani East,6.0246666666666675,Stable/Rising
Thiruvallikeni,4.439,Stable/Rising
Krishnampet,3.8682727272727266,Stable/Rising
Santhome,1.2530000000000001,Stable/Rising
Saligramam,1.3586363636363634,Stable/Rising
Navalar Nedunchezian Nagar East,3.755333333333333,Stable/Rising
Porur,3.8847500000000004,Stable/Rising
Mugalivakkam,9.599777777777778,Stable/Rising
Manapakkam,4.140333333333333,Stable/Rising
Guindy East,1.9603636363636363,Stable/Rising
Velachery,2.1366666666666667,Stable/Rising
Thiruvanmiyur West,2.4346363636363635,Stable/Rising
Thiruvanmiyur,2.6473636363636364,Stable/Rising
Madipakkam,2.5618333333333334,Stable/Rising
Pallikarania,2.625,Stable/Rising
Jalladampettai,3.932818181818182,Stable/Rising
Neelankarai,5.131818181818182,Stable/Rising
Uthandi,1.846090909090909,Stable/Rising
Kathivakkam,1.4299999999999997,Stable/Rising
Kathivakkam,3.3433333333333337,Stable/Rising
Ernavoor,2.1033333333333335,Stable/Rising
Sadaiyankuppam,3.4166666666666665,Stable/Rising
Kamadhenu Nagar,3.573333333333333,Stable/Rising
Murugappa Nagar,0.31,Stable/Rising
Raja Shanmugam Nagar,1.5966666666666667,Stable/Rising
Gandhinagar,3.43,Stable/Rising
Amsa Thottam,6.483333333333333,Stable/Rising
Chinna Mettupalaiyam,4.543333333333333,Stable/Rising
Ondikuppam,3.9133333333333336,Stable/Rising
Sathankadu,3.223333333333333,Stable/Rising
Thilagar Nagar,0.98,Stable/Rising
Kaladipettai,4.91,Stable/Rising
Edayanchavadi,1.24,Stable/Rising
Sadayankuppam,0.7933333333333333,Stable/Rising
Theeumpakkam,2.2033333333333336,Stable/Rising
Manali,6.513333333333333,Stable/Rising
Chinna Mathur,5.433333333333334,Stable/Rising
Mathur,6.013333333333333,Stable/Rising
Chinna Sekadu (Part),2.6933333333333334,Stable/Rising
Kavankarai,4.77,Stable/Rising
Puzhal,8.590000000000002,Stable/Rising
Surappattu,8.563333333333333,Stable/Rising
Kathirvedu,7.98,Stable/Rising
Madhavaram,8.413333333333334,Stable/Rising
Milk Colony,3.6233333333333335,Stable/Rising
Chinna Sekadu,2.27,Stable/Rising
Chinnandi Madam,1.4966666666666668,Stable/Rising
Alex Nagar,10.306666666666667,Stable/Rising
Moolakadai,3.3466666666666662,Stable/Rising
Kalpalaiyam,12.236666666666666,Stable/Rising
Thatankulam,4.406666666666667,Stable/Rising
Kodungaiyur (West),2.59,Stable/Rising
Thiruvalluvar Nagar,4.673333333333333,Stable/Rising
Perambur (East),4.773333333333333,Stable/Rising
Kodungaiyur (East),2.75,Stable/Rising
Dr.Radhakrishnan Nagar (North),2.65,Stable/Rising
Cheriyan Nagar North / South,3.9933333333333336,Stable/Rising
Jeeva Nagar (North),1.4966666666666668,Stable/Rising
Vyasarpadi North / Kumarasamy Nagar North,2.0033333333333334,Stable/Rising
Korukkupet,2.4433333333333334,Stable/Rising
Tondiarpet,1.9366666666666668,Stable/Rising
Perambur (North),5.266666666666667,Stable/Rising
Elango Nagar,2.0399999999999996,Stable/Rising
Vyasarpadi (South),2.5500000000000003,Stable/Rising
Dr.Radhakrishnan Nagar (South),2.1133333333333333,Stable/Rising
Mottai Thottam,2.6999999999999997,Stable/Rising
Grace Garden,2.7266666666666666,Stable/Rising
Royapuram,1.9133333333333333,Stable/Rising
Narayana Garden / Old Washermenpet,3.313333333333333,Stable/Rising
Meenakshiammanpet,3.44,Stable/Rising
Basin Bridge,,Stable/Rising
Kondithope / Peddunaickenpet,3.84,Stable/Rising
Seven Wells (North / South),5.386666666666667,Stable/Rising
Muthialpet,9.99,Stable/Rising
Sowcarpet,5.233333333333333,Stable/Rising
Poonga Nagar,9.223333333333333,Stable/Rising
Edapalayam / Nehru Nagar,7.05,Stable/Rising
Vallal Seethakathi Nagar,4.056666666666667,Stable/Rising
Egmore / Pudupet,7.8933333333333335,Stable/Rising
Chintadripet,2.76,Stable/Rising
Komaleeswaranpet,4.156666666666667,Stable/Rising
Kolathur,2.2,Stable/Rising
Venus Nagar,1.3,Stable/Rising
Agaram (North),2.5233333333333334,Stable/Rising
Agaram (South),5.093333333333333,Stable/Rising
Sembium,4.27,Stable/Rising
Siruvallur,,Stable/Rising
Perambur (South),8.45,Stable/Rising
Thiru Vi Ka Nagar,9.263333333333334,Stable/Rising
Dr Sathiyavanimuthu Nagar,2.516666666666666,Stable/Rising
Pulianthope,7.2700000000000005,Stable/Rising
Maraimalai Adikal Nagar,5.239999999999999,Stable/Rising
Kosappet,3.5566666666666666,Stable/Rising
Pattalam SC (G),,Stable/Rising
Dr. Besant Nagar/ Thattankulam,7.336666666666666,Stable/Rising
Choolai,8.266666666666667,Stable/Rising
Banu Nagar,9.393333333333333,Stable/Rising
Athimulam Nagar,5.46,Stable/Rising
Vijayalakshmipuram,3.286666666666667,Stable/Rising
Kallikuppam,7.156666666666666,Stable/Rising
Puthagaram,2.016666666666667,Stable/Rising
Korattur,2.33,Stable/Rising
Menambedu,7.319333333333333,Stable/Rising
Ayyappakkam,3.513333333333333,Stable/Rising
Mathiyalagan Nagar,4.5,Stable/Rising
Villivakkam / Anna Nagar West,6.4799999999999995,Stable/Rising
Anna Nagar West Extension,2.85,Stable/Rising
Padikuppam,3.51,Stable/Rising
Nolambur (Part) / Mugappair Eri Scheme,8.473333333333334,Stable/Rising
Padi Pudhu nagar,3.8833333333333333,Stable/Rising
Maduravoyal (Part) / Nerkundram (Part),2.65,Stable/Rising
Villivakkam North,3.33,Stable/Rising
Vasantham Colony,6.146666666666666,Stable/Rising
Viduthalai Gurusamy Nagar South,3.026666666666667,Stable/Rising
Ayanavaram,1.1533333333333333,Stable/Rising
Pannerselvam Nagar,3.943333333333333,Stable/Rising
Villivakkam South,7.686666666666667,Stable/Rising
Anna Nagar (West),8.173333333333334,Stable/Rising
Anna Nagar (Central),2.953333333333333,Stable/Rising
Anna Nagar (East),2.27,Stable/Rising
Shenoy Nagar,6.963333333333334,Stable/Rising
Purasawalkam,3.4466666666666668,Stable/Rising
Aminjikarai West,5.086666666666667,Stable/Rising
Aminjikarai East,3.69,Stable/Rising
Chetpet / Kilpauk South,4.22,Stable/Rising
Aminjikarai Central,4.216666666666667,Stable/Rising
Periyar Nagar North,4.168333333333333,Stable/Rising
Nungambakkam,7.94,Stable/Rising
Thousand Lights,11.62,Stable/Rising
Vadapalani East,7.16,Stable/Rising
Nakkeerar Nagar,6.336666666666666,Stable/Rising
Chepauk,4.883333333333334,Stable/Rising
Amir mahal,4.6000000000000005,Stable/Rising
Thiruvallikeni,4.7700000000000005,Stable/Rising
Sathiyamoorthi Nagar,7.6933333333333325,Stable/Rising
Teynampet,7.963333333333334,Stable/Rising
Azad Nagar North / South,6.783333333333334,Stable/Rising
Krishnampet,3.4,Stable/Rising
Vivekanandhapuram,2.2466666666666666,Stable/Rising
Alwarpet (South),11.636666666666665,Stable/Rising
Bhemmannapet,6.093333333333334,Stable/Rising
Mylapore,3.466666666666667,Stable/Rising
Santhome,1.5866666666666667,Stable/Rising
Avvai Nagar North,4.773333333333333,Stable/Rising
Virugambakkam North,12.410000000000002,Stable/Rising
Virugambakkam South,3.223333333333333,Stable/Rising
Saligramam,2.44,Stable/Rising
Vadapalani West,5.66,Stable/Rising
Kodambakkam North,1.7766666666666666,Stable/Rising
Ashok Nagar,4.276666666666666,Stable/Rising
MGR Nagar,5.28,Stable/Rising
Navalar Nedunchezian Nagar East,4.22,Stable/Rising
Kamarajar Nagar South / East,6.1066666666666665,Stable/Rising
Thiyagaraya Nagar,5.8566666666666665,Stable/Rising
Kodambakkam (S),2.29,Stable/Rising
Kalaignar Karunanidhi Nagar,14.116666666666667,Stable/Rising
Saidapet (West),2.6833333333333336,Stable/Rising
Kumaran Nagar North / South,3.973333333333333,Stable/Rising
VOC Nagar,11.13,Stable/Rising
Saidapet East,6.073333333333333,Stable/Rising
Nolambur,2.153,Stable/Rising
Mettukuppam,4.706666666666667,Stable/Rising
Nerkundram,3.9333333333333336,Stable/Rising
Nerkundram,2.4066666666666667,Stable/Rising
Maduravoyal,2.5500000000000003,Stable/Rising
Nerkundram,3.3800000000000003,Stable/Rising
Valasaravakkam,2.78,Stable/Rising
Karambakkam,1.2666666666666666,Stable/Rising
Porur,3.1599999999999997,Stable/Rising
Valasaravakkam,2.82,Stable/Rising
Porur,4.5633333333333335,Stable/Rising
Ramapuram,3.3333333333333335,Stable/Rising
Ramapuram,3.1966666666666668,Stable/Rising
Mugalivakkam,,Stable/Rising
Manapakkam,3.876666666666667,Stable/Rising
Nandambakkam,3.5666666666666664,Stable/Rising
Meenampakkam,4.726666666666667,Stable/Rising
Alandur,3.856666666666667,Stable/Rising
Alandur Part / Adampakkam Part,3.22,Stable/Rising
T.G.Nagar / Nanganallur Part,3.53,Stable/Rising
Adampakkam Part,3.953333333333333,Stable/Rising
Nanganallur Part / Pazhavanthangal Part,4.426666666666667,Stable/Rising
Adampakkam Part / Balaji Nagar,4.28,Stable/Rising
B.V.Nagar / Nanganallur Part,3.2900000000000005,Stable/Rising
Nanganallur,2.69,Stable/Rising
Guindy West,4.403333333333333,Stable/Rising
GD Naidu Nagar South,4.78,Stable/Rising
GD Naidu Nagar East,2.81,Stable/Rising
Raja Annamalaipuram,1.8166666666666667,Stable/Rising
Guindy East,1.8399999999999999,Stable/Rising
Adyar West,2.7566666666666664,Stable/Rising
Adyar East,2.216666666666667,Stable/Rising
Velachery,2.0666666666666664,Stable/Rising
Velachery,0.93,Stable/Rising
Velachery,3.08,Stable/Rising
Thiruvanmiyur West,1.15,Stable/Rising
Thiruvanmiyur,1.6900000000000002,Stable/Rising
Thiruvanmiyur,2.2600000000000002,Stable/Rising
Ullagaram,4.6066666666666665,Stable/Rising
Puzhuthivakkam,1.0433333333333332,Stable/Rising
Kottivakkam,2.8833333333333333,Stable/Rising
Perungudi,2.8800000000000003,Stable/Rising
Palavakkam,3.64,Stable/Rising
Perungudi,9.34,Stable/Rising
Madipakkam,0.9533333333333335,Stable/Rising
Madipakkam,2.7533333333333334,Stable/Rising
Pallikaranai,1.5266666666666666,Stable/Rising
Pallikarania,3.08,Stable/Rising
Jalladampettai,3.746666666666666,Stable/Rising
Neelankarai,4.173333333333333,Stable/Rising
Neelankarai,2.143333333333333,Stable/Rising
Okkiyam Thuraipakkam,2.22,Stable/Rising
Okkiyam Thuraipakkam,1.6966666666666665,Stable/Rising
Injampakkam,5.663333333333334,Stable/Rising
Karapakkam,2.1966666666666668,Stable/Rising
Shozhinganallur,5.63,Stable/Rising
Uthandi,1.3266666666666664,Stable/Rising
Semmenchery,3.3266666666666667,Stable/Rising
